length,depth,tautology,CPU time (sec),peak memory (bytes)
9,4,False,0.015625,11587
9,3,False,0.046875,29111
9,3,False,0.015625,8060
9,3,False,0.03125,22697
9,3,False,0.03125,10285
9,4,False,0.03125,27107
9,4,False,0.015625,7038
9,3,False,0.015625,12717
9,4,False,0.03125,9733
9,3,False,0.015625,4428
9,4,False,0.046875,17356
9,5,False,0.0625,11469
10,5,False,0.015625,43745
10,2,False,0.015625,10370
10,5,False,0.109375,34872
10,4,False,0.046875,12538
10,4,False,0.03125,13616
10,4,False,0.015625,42721
10,3,True,0.015625,5877
10,3,False,0.015625,10897
10,5,False,0.0625,73968
10,5,False,0.0625,30288
10,3,False,0.03125,20652
10,3,False,0.0,23175
10,4,False,0.015625,11197
10,4,False,0.03125,14488
10,2,False,0.0,8913
10,3,True,0.015625,4794
10,3,False,0.03125,8831
10,4,False,0.0625,19412
10,4,False,0.28125,31363
10,3,False,0.0,12505
10,5,False,0.03125,17727
10,5,False,0.03125,17233
10,3,False,0.03125,7530
10,5,False,0.03125,16311
10,3,False,0.03125,22048
10,4,False,0.03125,14778
10,4,False,0.03125,8759
10,4,False,0.015625,12605
10,2,False,0.015625,9753
10,3,True,0.015625,7698
10,4,True,0.0,6071
10,5,False,0.234375,28359
10,3,False,0.015625,9383
10,3,False,0.0,10937
10,5,False,0.359375,67995
10,3,False,0.015625,15660
10,3,False,0.046875,4958
10,3,False,0.03125,7819
10,3,False,0.0,6534
10,5,False,0.03125,20461
